URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100609,Archbishop Sumner Church of England Primary School,Lambeth,45.9,2.8,51.491592,-0.109962
100610,Christ Church Primary SW9,Lambeth,40.4,5.3,51.476163,-0.109002
100612,Macaulay Church of England Primary School,Lambeth,38.7,3.2,51.463256,-0.147671
100613,St Andrew's Church of England Primary School,Lambeth,39.4,2.8,51.468347,-0.122355
100614,St John the Divine Church of England Primary School,Lambeth,47.2,2.8,51.478714,-0.103251
100615,St John's Angell Town Church of England Primary School,Lambeth,43.3,3.7,51.468053,-0.108545
100616,St Jude's Church of England Primary School,Southwark,55.6,2.1,51.496859,-0.105365
100619,St Mark's Church of England Primary School,Lambeth,49.8,3.9,51.48457,-0.11731
100620,St Saviour's Church of England Primary School,Waltham Forest,35.8,2.9,51.516264,-0.016497
100621,St Stephen's Church of England Primary School,Lewisham,36.9,3.2,51.470189,-0.023778
100622,Holy Trinity Church of England Primary School,Richmond upon Thames,34.8,3.7,51.463405,-0.285825
100623,St Helen's Catholic School,Lambeth,47.2,3,51.46713,-0.114313
100624,Norwood School,Lambeth,34.9,4.5,51.42273,-0.098493
100625,Lilian Baylis Technology School,Lambeth,50.4,4.9,51.486203,-0.119346
100627,Saint Gabriel's College,Lambeth,40.8,4.4,51.475976,-0.102414
100628,St Bernadette Catholic Junior School,Lambeth,37.3,3.8,51.447913,-0.14478
100629,St Anne's Catholic Primary School,Tower Hamlets,39.3,3.8,51.521129,-0.066144
100631,St Bede's Catholic Infant School,Lambeth,37.2,4.5,51.444947,-0.135201
100632,St Andrew's Catholic Primary School,Lambeth,36.7,2.9,51.424321,-0.125814
100633,Immanuel and St Andrew Church of England Primary School,Lambeth,36.2,3.1,51.41934,-0.131541
100634,Reay Primary School,Lambeth,43.5,3.1,51.477502,-0.115081
100636,St Mary's Roman Catholic Primary School,Lambeth,38.9,3,51.45925,-0.138318
100637,La Retraite Roman Catholic Girls' School,Lambeth,37.3,4.1,51.447913,-0.14478
100638,Bishop Thomas Grant Catholic Secondary School,Lambeth,33.4,2.9,51.424972,-0.118739
100642,London Nautical School,Lambeth,49.9,4.8,51.506439,-0.108296
100671,Adamsrill Primary School,Lewisham,33.7,4.4,51.430749,-0.040471
100672,Athelney Primary School,Lewisham,32.5,4.8,51.433726,-0.024432
100673,Baring Primary School,Lewisham,38.2,3.5,51.444454,0.012569
100674,Beecroft Garden Primary,Lewisham,37.5,4.8,51.456837,-0.03776
100676,Cooper's Lane Primary School,Lewisham,32.3,4.2,51.437282,0.021203
100677,Dalmain Primary School,Lewisham,37.9,2.6,51.444049,-0.044248
100678,Deptford Park Primary School,Lewisham,40.6,3.7,51.487489,-0.037017
100679,Downderry Primary School,Lewisham,31.7,4.5,51.428206,0.000375
100680,Edmund Waller Primary School,Lewisham,36.7,3.8,51.470369,-0.048436
100681,Elfrida Primary School,Lewisham,32.4,4.3,51.428628,-0.023947
100683,Forster Park Primary School,Lewisham,31.9,4.9,51.434203,0.003615
100684,Gordonbrock Primary School,Lewisham,36.9,3.5,51.454789,-0.028272
100685,Grinling Gibbons Primary School,Lewisham,40.4,3.2,51.481134,-0.029616
100686,Haseltine Primary School,Lewisham,43.6,3.4,51.428192,-0.036567
100687,Brindishe Green School,Lewisham,35.3,3.4,51.451007,-0.005162
100688,Holbeach Primary School,Lewisham,34.2,3,51.447907,-0.022784
100689,John Stainer Community Primary School,Lewisham,37.7,3.5,51.464206,-0.040737
100690,Kelvin Grove Primary School,Lewisham,34.5,4.6,51.432594,-0.062778
100691,Kender Primary School,Lewisham,45.1,4.5,51.474958,-0.050817
100692,Launcelot Primary School,Lewisham,33.4,4.7,51.426742,0.016005
100693,Brindishe Manor School,Lewisham,33.2,3.5,51.452352,0.001445
100695,Lucas Vale Primary School,Lewisham,40.1,4.1,51.471788,-0.02849
100696,Marvels Lane Primary School,Lewisham,32.5,5.2,51.429178,0.032728
100699,Rangefield Primary School,Lewisham,31.6,4.1,51.423969,0.00416
100700,Rathfern Primary School,Lewisham,37.8,3.6,51.439922,-0.032484
100701,Rushey Green Primary School,Lewisham,44.7,4.6,51.442238,-0.016193
100704,Stillness Junior School,Lewisham,37.8,3.9,51.449207,-0.039149
100705,Stillness Infant School,Lewisham,37.8,3.2,51.449207,-0.039149
100709,John Ball Primary School,Lewisham,36.4,2.8,51.466188,0.006398
100710,Fairlawn Primary School,Lewisham,35.2,3.1,51.446462,-0.054708
100711,Eliot Bank Primary School,Lewisham,35.4,3.2,51.436478,-0.061046
100712,Sir Francis Drake Primary School,Lewisham,37,3.3,51.486792,-0.042131
100713,Myatt Garden Primary School,Lewisham,39.4,3.4,51.470984,-0.030944
100714,Horniman Primary School,Lewisham,33.4,3.6,51.444147,-0.058821
100715,Perrymount Primary School,Lewisham,33.1,4.6,51.436097,-0.046775
100716,Ashmead Primary School,Lewisham,41.5,3.9,51.469649,-0.02589
100717,Brindishe Lee School,Lewisham,34.4,2.4,51.451942,0.008566
100718,Kilmorie Primary School,Lewisham,33.5,4.5,51.437723,-0.040202
100719,All Saints' Church of England Primary School,Lewisham,35.4,2.8,51.469337,0.004204
100720,St Mary Magdalen's Catholic Primary School,Richmond upon Thames,35.7,3,51.468592,-0.261227
100722,Good Shepherd RC School,Lewisham,30.8,2.6,51.427073,0.009834
100723,Holy Trinity Church of England Primary School,Richmond upon Thames,34.8,5.5,51.463405,-0.285825
100724,St Margaret's Lee CofE Primary School,Lewisham,37.2,4,51.459601,0.005073
100725,St Augustine's Catholic Primary School and Nursery,Lewisham,34.6,1.8,51.424218,-0.016815
100726,St Bartholomews's Church of England Primary School,Lewisham,32.7,3.4,51.430993,-0.055149
100727,St James's Hatcham Church of England Primary School,Lewisham,48.1,2.3,51.474219,-0.038825
100728,St John Baptist Southend Church of England Primary School,Lewisham,40.9,2.7,51.428462,-0.00987
100729,St Joseph's Catholic Primary School,Lewisham,40,2.5,51.408685,-0.294968
100730,St Mary's Lewisham Church of England Primary School,Lewisham,44.8,3.7,51.45503,-0.015394
100731,St Michael's Church of England Primary School,Lewisham,32.7,2.8,51.429754,-0.04178
100732,Our Lady and St Philip Neri Roman Catholic Primary School,Lewisham,35.6,3.4,51.426431,-0.04149
100733,St Saviour's Catholic Primary School,Lewisham,38.5,3.3,51.459945,-0.010387
100734,St Stephen's Church of England Primary School,Lewisham,36.9,2.9,51.470189,-0.023778
100737,St William of York Catholic Primary School,Lewisham,33.6,2.5,51.444306,-0.039186
100740,Deptford Green School,Lewisham,40.8,5.3,51.47825,-0.035757
100741,Sydenham School,Lewisham,35.7,5.1,51.43423,-0.058925
100742,Conisborough College,Lewisham,31.8,5.5,51.433495,-0.011321
100743,Sedgehill School,Lewisham,31.1,6.7,51.423143,-0.020789
100745,Forest Hill School,Lewisham,32.1,4.8,51.431914,-0.047802
100747,Prendergast Ladywell School,Lewisham,33.4,5.4,51.451648,-0.029775
100748,Addey and Stanhope School,Lewisham,44.2,4.5,51.474937,-0.02749
100750,Prendergast School,Lewisham,34,4.2,51.458059,-0.02753
100752,Bonus Pastor Catholic College,Lewisham,32.3,2.5,51.427684,-0.001705
100774,Albion Primary School,Southwark,46,4.3,51.499945,-0.051668
100775,Bellenden Primary School,Southwark,37.2,5.1,51.464593,-0.067297
100780,Camelot Primary School,Southwark,38.3,3.8,51.480428,-0.063431
100781,Charles Dickens Primary School,Southwark,49,3.9,51.501283,-0.096464
100782,Cobourg Primary School,Southwark,38.3,3.6,51.484796,-0.076943
100783,Comber Grove School,Southwark,41.7,3.9,51.47762,-0.097349
100785,Crawford Primary School,Southwark,40.9,4,51.471564,-0.094879
100786,Dog Kennel Hill School,Southwark,39,3.7,51.465397,-0.082884
100790,Goodrich Community Primary School,Southwark,34.1,4.3,51.450846,-0.068569
100791,Grange Primary School,Southwark,49.9,3.9,51.503897,-0.305559
100793,Heber Primary School,Southwark,35.5,4.1,51.453258,-0.07362
100794,Hollydale Primary School,Southwark,40.3,3.8,51.467307,-0.052511
100795,Ilderton Primary School,Southwark,41.8,3.3,51.485175,-0.053525
100796,Ivydale Primary School,Southwark,35,4.3,51.460644,-0.046619
100798,John Ruskin Primary School and Language Classes,Southwark,41.2,3.4,51.482143,-0.098975
100800,Keyworth Primary School,Southwark,42.1,3.9,51.485831,-0.10513
100801,Dulwich Wood Primary School,Southwark,33.4,3.4,51.434246,-0.083901
100802,Lyndhurst Primary School,Southwark,39.2,3.5,51.469531,-0.087005
